video_id,song_name,artist_name,views,likes,comments,chart_position,collection_date
yt_uwaie_kapo_(video_oficial),Kapo (Video Oficial),UWAIE,525496,0,0,183,2025-12-08
"yt_unknown_pottala_muttaye_|_thalaivan_thalaivii_|_vijay_sethupathi,nithya_menen_|pandiraaj_|santhos","Pottala Muttaye | Thalaivan Thalaivii | Vijay Sethupathi,Nithya Menen |Pandiraaj |Santhosh Narayanan",Unknown,523607,0,0,184,2025-12-08
yt_junior_h_y_lloro_[official_video],Y LLORO [Official Video],Junior H,520383,0,0,185,2025-12-08
yt_unknown_le_sserafim_(르세라핌)_'spaghetti_(feat._j-hope_of_bts)'_official_mv,LE SSERAFIM (르세라핌) 'SPAGHETTI (feat. j-hope of BTS)' OFFICIAL MV,Unknown,519769,0,0,186,2025-12-08
"yt_unknown_lyrical:tum_jo_aaye_|once_upon_a_time_in_mumbai|_ajay_devgn,rahat_fateh_ali_khan,tulsi_ku","Lyrical:Tum Jo Aaye |Once Upon A Time In Mumbai| Ajay Devgn,Rahat Fateh Ali Khan,Tulsi Kumar, Pritam",Unknown,517462,0,0,187,2025-12-08
"yt_jhay_cortez,_j._balvin,_bad_bunny_no_me_conoce_(remix)",No Me Conoce (Remix),"Jhay Cortez, J. Balvin, Bad Bunny",516726,0,0,188,2025-12-08
yt_bryan_adams_(everything_i_do)_i_do_it_for_you,(Everything I Do) I Do It For You,Bryan Adams,515271,0,0,189,2025-12-08
yt_guru_randhawa_sirra_(_official_video_),SIRRA ( Official Video ),Guru Randhawa,514673,0,0,190,2025-12-08
yt_shawn_mendes_treat_you_better,Treat You Better,Shawn Mendes,514306,0,0,191,2025-12-08
yt_gianluca_grignani_mi_historia_entre_tus_dedos,Mi Historia Entre Tus Dedos,Gianluca Grignani,513378,0,0,192,2025-12-08
yt_unknown_numb_(official_music_video)_[4k_upgrade]_–_linkin_park,Numb (Official Music Video) [4K UPGRADE] – Linkin Park,Unknown,512876,0,0,193,2025-12-08
"yt_vibe_undi_lyrical_|_mirai_|_teja_sajja,_ritika_nayak_|_karthik_gattamneni_|gowra_hari|armaan_mali","Lyrical | Mirai | Teja Sajja, Ritika Nayak | Karthik Gattamneni |Gowra Hari|Armaan Malik",Vibe Undi,511989,0,0,194,2025-12-08
yt_bessan_ismail_x_fouad_jned_خطية_(official_music_video)_|_بيسان_اسماعيل_و_فؤاد_جنيد,خطية (Official Music Video) | بيسان اسماعيل و فؤاد جنيد,Bessan Ismail x Fouad Jned,511657,0,0,195,2025-12-08
yt_fadel_chaker_ahla_rasma__|_2025_|_فضل_شاكر_-_أحلى_رسمه,Ahla Rasma  | 2025 | فضل شاكر - أحلى رسمه,Fadel Chaker,510826,0,0,196,2025-12-08
"yt_bum_bum_bole_(full_song)_film_taare_zameen_par_|__shaan,_aamir_khan","Taare Zameen Par |  Shaan, Aamir Khan",Bum Bum Bole (Full Song) Film,509458,0,0,197,2025-12-08
yt_justin_bieber_baby_ft._ludacris,Baby ft. Ludacris,Justin Bieber,507829,0,0,198,2025-12-08
yt_henrique_e_juliano_última_saudade_(manifesto_musical_2),ÚLTIMA SAUDADE (Manifesto Musical 2),Henrique e Juliano,506606,0,0,199,2025-12-08
yt_chayanne_bailando_bachata_(official_video),Bailando Bachata (Official Video),Chayanne,503217,0,0,200,2025-12-08
